record_type,record_id,accession_id,title,slug,wall_status,provenance_label,disposition,associated_people,teams_brands_organizations,description,wall_card_image,live_collection_url
accessioned_jersey,26.0017,26.0017,Autographed Dani George Jersey,26-0017-autographed-dani-george-jersey,current_holding,From the Leary Locker,,Dani George,Supercross BMX,"Dani George is an elite BMX racer who has competed internationally and represented Supercross BMX, a performance-focused BMX racing brand founded by Bill Ryan. Riders on the Supercross team compete in major BMX racing events worldwide, helping represent the continued growth of elite women’s BMX racing.",assets/wall-cards/26-0017.png,https://sites.google.com/view/lititzbmxinventorylist/collections/jersey-collection
accessioned_jersey,26.0018,26.0018,Harry Leary “Leary” “81” Redman Jersey,26-0018-harry-leary-leary-81-redman-jersey,current_holding,From the Leary Locker,,Harry Leary,Redman BMX,"Redman BMX was a BMX racing brand active during the late 1970s and early 1980s. The company produced frames and racing apparel and was associated with riders such as Harry Leary, who competed on the Redman team during the early years of his career. Redman represents the era when small independent manufacturers helped shape the early development of organized BMX racing.",assets/wall-cards/26-0018.png,https://sites.google.com/view/lititzbmxinventorylist/collections/jersey-collection
accessioned_jersey,26.0019,26.0019,Connor Fields Signed Factory Misprint Jersey,26-0019-connor-fields-signed-factory-misprint-jersey,current_holding,From the Leary Locker,,Connor Fields; Harry Leary,Answer BMX,"This factory Answer BMX team jersey worn by Olympic champion Connor Fields is signed by the rider and carries a unique connection to BMX legend Harry Leary. The jersey was sent to Leary after he recognized it during a giveaway of items from Fields’ personal collection. The piece also features a rare factory misprint, with Fields’ name incorrectly spelled “Conner Fields,” making it a distinctive artifact linking two generations of BMX racing history.",assets/wall-cards/26-0019.png,https://sites.google.com/view/lititzbmxinventorylist/collections/jersey-collection
accessioned_jersey,26.0021,26.0021,Leary Thrill ROC 1 Jersey,26-0021-leary-thrill-roc-1-jersey,current_holding,From the Leary Locker,,Harry Leary,Thrill; Race of Champions,This Thrill ROC #1 jersey was worn by BMX legend Harry Leary during his racing career. Jerseys like this represent the factory team identity and rider branding that helped define BMX racing culture during the sport’s early years.,assets/wall-cards/26-0021.png,https://sites.google.com/view/lititzbmxinventorylist/collections/jersey-collection
accessioned_jersey,26.0022,26.0022,Greg Hill GHP Jersey,26-0022-greg-hill-ghp-jersey,current_holding,From the Leary Locker,,Greg Hill; Harry Leary,GHP,"This GHP team jersey represents BMX champion Greg Hill and his brand Greg Hill Products (GHP). Hill was one of the most dominant BMX racers of the 1980s, winning multiple national titles and later founding GHP to produce BMX racing frames and equipment. Jerseys like this reflect the transition of elite riders into brand builders within the BMX industry.",assets/wall-cards/26-0022.png,https://sites.google.com/view/lititzbmxinventorylist/collections/jersey-collection
accessioned_jersey,26.0023,26.0023,Harry Leary “Leary” BIOLAB ROC 1 Jersey,26-0023-harry-leary-leary-biolab-roc-1-jersey,current_holding,From the Leary Locker,,Harry Leary,BIOLAB Sciences; Peak Performance; Race of Champions,"This BIOLAB ROC #1 jersey was worn by BMX pioneer Harry Leary during his racing career. Sponsored by BIOLAB/PEAK PERFORMANCE, jerseys like this represent the factory team sponsorships that became a key part of BMX racing during the sport’s early competitive years.",assets/wall-cards/26-0023.png,https://sites.google.com/view/lititzbmxinventorylist/collections/jersey-collection
accessioned_jersey,26.0024,26.0024,Greg Mathias Signed Team USA Jersey,26-0024-greg-mathias-signed-team-usa-jersey,current_holding,From Greg Mathias,,Greg Mathias,Team USA; USA BMX; JMC Racing,"This Team USA jersey signed by Greg Mathias features a design inspired by the classic JMC Racing style associated with Mathias during his BMX racing career. Mathias was one of the top BMX racers of the early 1980s, and memorabilia like this jersey reflects his contributions to the sport and the enduring influence of the JMC brand in BMX racing history.",assets/wall-cards/26-0024.png,https://sites.google.com/view/lititzbmxinventorylist/collections/jersey-collection
accessioned_jersey,26.0025,26.0025,Leary Fasthouse “4” Jersey,26-0025-leary-fasthouse-4-jersey,current_holding,From the Leary Locker,,Harry Leary,Fasthouse,"This Fasthouse jersey represents BMX pioneer Harry Leary and reflects the continued recognition of Leary’s legacy within BMX culture. Produced by Fasthouse, jerseys like this celebrate the influence of early BMX legends whose riding helped shape the sport’s development.",assets/wall-cards/26-0025.png,https://sites.google.com/view/lititzbmxinventorylist/collections/jersey-collection
accessioned_jersey,26.0026,26.0026,GHP Jersey,26-0026-ghp-jersey,current_holding,From the Leary Locker,,Harry Leary; Greg Hill,GHP,"This GHP team jersey represents the BMX racing brand Greg Hill Products, founded by BMX champion Greg Hill. GHP became known for producing high-performance BMX racing frames and equipment, continuing Hill’s influence on the sport following his dominant racing career in the 1980s.",assets/wall-cards/26-0026.png,https://sites.google.com/view/lititzbmxinventorylist/collections/jersey-collection
accessioned_jersey,26.0027,26.0027,John Stancliff Jersey,26-0027-john-stancliff-jersey,current_holding,From John Stancliff,,John Stancliff,Grassroots BMX,"This BMX racing jersey belonged to local rider John Stancliff, representing the grassroots level of BMX competition that has always been the foundation of the sport. While professional racers often receive the most recognition, local riders like Stancliff played an important role in sustaining BMX racing communities through weekly track events and regional competitions. Artifacts such as this jersey help document the everyday racers who formed the backbone of BMX culture at local tracks.",assets/wall-cards/26-0027.png,https://sites.google.com/view/lititzbmxinventorylist/collections/jersey-collection
accessioned_jersey,26.0035,26.0035,JAG Jersey,26-0035-jag-jersey,current_holding,Purchased from the BMX Museum,,,JAG BMX; BMX Museum,The live Jersey Collection identifies this accession as a JAG jersey purchased from the BMX Museum. The current inventory CSV assigns 26.0035 to a JAG kit with an Oakley Factory Pilot decal. This public wall record follows the current Jersey Collection display while preserving the metadata conflict for resolution.,assets/wall-cards/26-0035.png,https://sites.google.com/view/lititzbmxinventorylist/collections/jersey-collection
accessioned_jersey,26.0063,26.0063,Harry Leary DIRTWERX Jersey,26-0063-harry-leary-dirtwerx-jersey,current_holding,From the Leary Locker,,Harry Leary,DIRTWERX,"An authentic, race-worn Factory Team Jersey produced by DIRTWERX for BMX legend Harry Leary. This jersey features the classic heavy-duty ventilation and padded elbows characteristic of the Pro-Circuit era. As a companion piece to the DIRTWERX helmet and Leary's signature frames, this garment is a primary artifact of 80s/90s racing 'style' and functional design.",assets/wall-cards/26-0063.png,https://sites.google.com/view/lititzbmxinventorylist/collections/jersey-collection
