Record ID,Sequence,Record Type,Published Element,Published Options,Verified Answer,Evidence,Verification Status,Issue / Note,Live URL,Archived File,Source Page
1984-QUIZ,00,Quiz,BMX History Quiz: 1984,,,Standalone quiz image and full live-page capture,Source preserved,Shaun/Shawn spelling discrepancy and false TBP statement documented.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1984-bmx-history-quiz,quiz/1984-quiz-transcription.md,Live learning page
1984-Q01,01,Question,Eric Rupe beat Greg Hill by ___ points to win NBL No. 1 Pro.,,31 points,"Article says Rupe became NBL No. 1 Pro for 1984, beating Greg Hill by 31 points.",Verified directly,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1984-bmx-history-quiz,quiz/1984-verified-answer-key.md,BMX Action Dec. 1986 pp. 50–51
1984-Q02,02,Question,The pride of CW Racing was ____ <nickname> ____ Loncarevich.,A. Pitter Patter Pete | B. Pistol Pete | C. Pretty-Boy Pete | D. Pepto Pete,B. Pistol Pete,Photograph caption identifies the pride of CW Racing as “Pistol Pete” Loncarevich.,Verified directly,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1984-bmx-history-quiz,quiz/1984-verified-answer-key.md,BMX Action Dec. 1986 p. 50
1984-Q03,03,Question,"________ was a huge up-and-comer who had ups-and-downs, and joined Pro Neck.",A. Dave Vanderspek | B. Ron Wilkerson | C. Hugo Gonzales | D. Shaun Texas,D. Shaun Texas,Article identifies Shawn Texas as the huge up-and-comer who joined Pro Neck.,Verified directly,Quiz: Shaun Texas. Article: Shawn Texas. Both preserved.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1984-bmx-history-quiz,quiz/1984-verified-answer-key.md,BMX Action Dec. 1986 p. 50
1984-Q04,04,Question,"T/F - Greg Hill won his second NORA Cup, but his first wearing a GHP jersey.",True | False,True,"Article says Hill won his second NORA Cup in a row, his first one with GHP.",Verified directly,Source wording is “with GHP”; quiz wording says wearing a GHP jersey.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1984-bmx-history-quiz,quiz/1984-verified-answer-key.md,BMX Action Dec. 1986 p. 50
1984-Q05,05,Question,Ronnie Anderson signed with __________.,A. Free Agent | B. Panda | C. CW | D. Zeronine,D. Zeronine,Article says Ronnie Anderson signed with Zeronine.,Verified directly,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1984-bmx-history-quiz,quiz/1984-verified-answer-key.md,BMX Action Dec. 1986 p. 51
1984-EC01,06,Extra Credit,________ was “some young punk” who was “moving up” and battling it out with the King—Eddie Fiola.,,Mike Dominguez,Freestyle section uses those phrases for Mike Dominguez and states that he and Eddie Fiola battled.,Verified directly,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1984-bmx-history-quiz,quiz/1984-verified-answer-key.md,BMX Action Dec. 1986 p. 50
1984-EC02,07,Extra Extra Credit,"T/F Tommy Brackens started the season with Torker and ended with his own company, Tommy Brackens Products (TBP).",True | False,False,Article caption says Brackens ended the year off Torker and on GT.,Verified directly,Direct contradiction; no TBP year-end destination should be inferred.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1984-bmx-history-quiz,quiz/1984-verified-answer-key.md,BMX Action Dec. 1986 p. 50
1984-SRC01,08,Supporting Article,1984 retrospective feature,,,Supplied complete two-page magazine spread.,Visible source transcribed,Printed pages 50–51.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1984-bmx-history-quiz,article/1984-source-article-transcription.md,"BMX Action, Dec. 1986, pp. 50–51"
1984-CAP01,09,Page Capture,Live Google Sites learning-resource page,,,Supplied full-page screenshot.,Source preserved,"Capture includes quiz, both source-page images, and navigation to 1983 and 1985.",https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1984-bmx-history-quiz,page-captures/page-001-1984-learning-resource.png,Google Sites
