Record ID,Sequence,Record Type,Published Element,Published Options,Verified Answer,Evidence,Verification Status,Issue / Note,Live URL,Archived File,Source Page
1981-QUIZ,00,Quiz,BMX History Quiz: 1981,,,Standalone quiz image and full live-page capture,Source preserved,Right-hand article page is cropped at top; affected answer evidence is explicitly classified.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1981-bmx-history-quiz,quiz/1981-quiz-transcription.md,Live learning page
1981-Q01,01,Question,________ ended his one-man boycott of the ABA.,A. John Crews | B. Jeff Kosmala | C. Greg Hill | D. Jason Jensen,C. Greg Hill,Supplied caption states Greg Hill had just ended his one-man boycott of the ABA.,Verified directly,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1981-bmx-history-quiz,quiz/1981-verified-answer-key.md,"Supplied 1981 BMX Action spread, left page"
1981-Q02,02,Question,T/F - 1981 was the first year of tallying cruiser points.,True | False,True,1981 article establishes Pro Cruiser context; supplemental history documents first ABA national Pro Cruiser race in Jan. 1981 and points accumulated that season.,Verified with scope note,Cruiser racing existed before 1981; answer applies to the 1981 Pro Cruiser points context.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1981-bmx-history-quiz,quiz/1981-verified-answer-key.md,https://nebraskabmxhalloffame.com/tim-lillethorup/
1981-Q03,03,Question,Torker’s owner was:,A. Mike King | B. Steve Johnson | C. Clint Miller | D. Jason Jensen,B. Steve Johnson,Supplied Team Torker caption identifies Steve Johnson as Torker’s owner.,Verified directly,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1981-bmx-history-quiz,quiz/1981-verified-answer-key.md,"Supplied 1981 BMX Action spread, left page"
1981-Q04,04,Question,____________ pants were the fashion leader.,,JMC,Surviving cropped fragment references JMC and its stylish riders in the associated source passage.,Contextually verified,Opening sentence is cropped; no missing wording reconstructed.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1981-bmx-history-quiz,quiz/1981-verified-answer-key.md,"Supplied 1981 BMX Action spread, cropped right-page top"
1981-Q05,05,Question,“Trash Can” was his nickname?,A. Rich Farside | B. Bob Morgan | C. R.L. Osborn | D. Brent Patterson,B. Bob Morgan,Period article index identifies an ACS Z-Rim test featuring Trash Can Bob Morgan.,Verified with supplemental period evidence,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1981-bmx-history-quiz,quiz/1981-verified-answer-key.md,https://www.dreamgate.ne.jp/kuwahara/articles/article.html
1981-EC01,06,Extra Credit,____________ helmets became “the only nogan-knocker to wear.”,,Bell Moto III helmets,Supplied article states Bell’s durable Moto III replaced Premier helmets and was used by the best.,Verified directly,NOGAN-KNOCKER preserved as published quiz wording.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1981-bmx-history-quiz,quiz/1981-verified-answer-key.md,"Supplied 1981 BMX Action spread, right page"
1981-EC02,07,Extra Extra Credit,The first person to pull off a no-footer/one hander was:,A. Kevin McNeal | B. Mike Miranda | C. Stu Thomsen | D. Bob Morgan,D. Bob Morgan,"Answer retained from source sequence, adjacent aerial material, and period Bob Morgan identification; full identifying passage/caption is cropped.",Contextually verified,Top-page crop prevents direct quotation of the complete identifying evidence.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1981-bmx-history-quiz,quiz/1981-verified-answer-key.md,"Supplied 1981 BMX Action spread, cropped right-page top"
1981-SRC01,08,Supporting Article,1981 retrospective feature,,,Supplied two-page magazine spread.,Visible source transcribed,Top of right page materially cropped; publication sequence indicates approximately pp. 38–39.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1981-bmx-history-quiz,article/1981-source-article-transcription.md,"BMX Action, Dec. 1986 retrospective sequence"
1981-CAP01,09,Page Capture,Live Google Sites learning-resource page,,,Supplied full-page screenshot.,Source preserved,"Capture includes quiz, both source-page images, and navigation to 1980 and 1982.",https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1981-bmx-history-quiz,page-captures/page-001-1981-learning-resource.png,Google Sites
