Record ID,Sequence,Record Type,Published Element,Published Options,Verified Answer,Evidence,Verification Status,Issue / Note,Live URL,Archived File,Source Page
1980-QUIZ,00,Quiz,BMX History Quiz: 1980,,,Standalone quiz image and full live-page capture,Source preserved,PRO-BABLY and AVALANCE preserved as published; supplemental NORA team evidence documented.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1980-bmx-history-quiz,quiz/1980-quiz-transcription.md,Live learning page
1980-Q01,01,Question,________ “PRO-BABLY TRIPLED MORE THAN ANYONE IN THE SPORT”,A. Jason Jenson | B. Bob Osborn | C. Steve Giberson | D. Richie Anderson,A. Jason Jenson,Jason Jenson caption states that J.J. had probably tripled more than anyone in the sport.,Verified,Quiz prints PRO-BABLY; article prints probably.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1980-bmx-history-quiz,quiz/1980-verified-answer-key.md,"BMX Action, Dec. 1986, p. 36"
1980-Q02,02,Question,____________________ was known as “Gibey”?,,Steve “Gibey” Giberson,Photograph caption identifies resident editorial rider Steve “Gibey” Giberson.,Verified,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1980-bmx-history-quiz,quiz/1980-verified-answer-key.md,"BMX Action, Dec. 1986, p. 37"
1980-Q03,03,Question,"“________________ has set an example that is clean, healthy, honest, and competitive.”",A. Stu Thomsen | B. Scott Breithaupt | C. Ted Guillmette | D. Brent Patterson,A. Stu Thomsen,Printed Bob Osborn quote attributes the statement to Stu Thomsen.,Verified,Quiz prints Scott; source photograph caption elsewhere prints Scot Breithaupt.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1980-bmx-history-quiz,quiz/1980-verified-answer-key.md,"BMX Action, Dec. 1986, p. 36"
1980-Q04,04,Question,____________ was known as “The Avalance”.,A. Richie Anderson | B. Craig Cook | C. Greg Hill | D. Bob Osborn,A. Richie Anderson,Photograph caption reads Richie “The Avalanche” Anderson.,Verified with published-error note,Quiz prints Avalance; source prints Avalanche.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1980-bmx-history-quiz,quiz/1980-verified-answer-key.md,"BMX Action, Dec. 1986, p. 37"
1980-Q05,05,Question,T/F - Bobby Encinas won the No. 1 Rider NORA Cup.,True | False,False — Stu Thomsen,The supplied retrospective says Stu won his first NORA Cup; BMX Action historical listing records Stu Thomsen for 1980.,Verified,False statement; Bobby Encinas was not the 1980 listed rider.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1980-bmx-history-quiz,quiz/1980-verified-answer-key.md,"BMX Action, Dec. 1986, p. 36; BMX Action, June 1984 listing"
1980-EC01,06,Extra Credit,"____________ does not condone stunt riding with BMX equipment. Our effort is in racing, not “circus acts.”",,Cook Bros. Racing / Craig and Gary Cook,"The quotation is printed and attributed to Craig and Gary Cook, Cook Bros. Racing.",Verified,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1980-bmx-history-quiz,quiz/1980-verified-answer-key.md,"BMX Action, Dec. 1986, p. 37"
1980-EC02,07,Extra Extra Credit,____________ was the NORA Cup No. 1 Team Award.,,Mongoose,Published BMX Action historical NORA Cup listing records Mongoose as the 1980 team.,Verified from supplemental published source,Answer does not appear in supplied retrospective; supplemental source URL preserved.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1980-bmx-history-quiz,quiz/1980-verified-answer-key.md,https://previouspage.co.uk/magazines/BMX%20Action/issues/54-june-nineteen-eighty-four
1980-EC03,08,Extra Extra Extra Credit,What was the nickname of the kid with “size 4 ½ footprints” he was leaving on and off the track?,,Juicy Jaws — Jason Jenson,Jason Jenson section says ol’ Juicy Jaws made size 4½ footprints on and off the track.,Verified,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1980-bmx-history-quiz,quiz/1980-verified-answer-key.md,"BMX Action, Dec. 1986, p. 37"
1980-SRC01,09,Supporting Article,1980 retrospective feature,,,Two-page supplied magazine spread.,Transcribed,"Publication sequence identifies BMX Action, December 1986, pages 36–37.",https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1980-bmx-history-quiz,article/1980-source-article-transcription.md,"BMX Action, Dec. 1986, pp. 36–37"
1980-CAP01,10,Page Capture,Live Google Sites learning-resource page,,,Supplied full-page screenshot.,Source preserved,"Capture includes quiz, both article pages, and navigation links to 1979 and 1981.",https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1980-bmx-history-quiz,page-captures/page-001-1980-learning-resource.png,Google Sites
